hour,heating_c,cooling_c,reason
569,16.7,29.4,verified autonomous action
570,16.7,29.4,verified autonomous action
571,16.7,29.4,verified autonomous action
572,16.7,29.4,verified autonomous action
573,16.7,29.4,verified autonomous action
574,16.7,29.4,verified autonomous action
575,16.7,29.4,verified autonomous action
576,16.7,29.4,verified autonomous action
577,16.7,29.4,verified autonomous action
578,16.7,29.4,verified autonomous action
579,16.7,29.4,verified autonomous action
580,16.7,29.4,verified autonomous action
581,16.7,29.4,verified autonomous action
582,16.7,29.4,verified autonomous action
583,16.7,29.4,verified autonomous action
584,16.7,29.4,verified autonomous action
585,16.7,29.4,verified autonomous action
586,16.7,29.4,verified autonomous action
587,16.7,29.4,verified autonomous action
588,16.7,29.4,verified autonomous action
589,16.7,29.4,verified autonomous action
590,16.7,29.4,verified autonomous action
591,16.7,29.4,verified autonomous action
592,16.7,29.4,verified autonomous action
593,16.7,29.4,verified autonomous action
594,16.7,29.4,verified autonomous action
595,16.7,29.4,verified autonomous action
596,16.7,29.4,verified autonomous action
597,16.7,29.4,verified autonomous action
598,16.7,29.4,verified autonomous action
599,16.7,29.4,verified autonomous action
600,16.7,29.4,verified autonomous action
601,16.7,29.4,verified autonomous action
602,16.7,29.4,verified autonomous action
603,16.7,29.4,verified autonomous action
604,16.7,29.4,verified autonomous action
605,16.7,29.4,verified autonomous action
606,22.0,24.0,verified autonomous action
607,22.0,24.0,verified autonomous action
608,22.0,24.0,verified autonomous action
609,22.0,24.0,verified autonomous action
610,22.0,24.0,verified autonomous action
611,22.0,24.0,verified autonomous action
612,22.0,24.0,verified autonomous action
613,22.0,24.0,verified autonomous action
614,22.0,24.0,verified autonomous action
615,22.0,24.0,verified autonomous action
616,22.0,24.0,verified autonomous action
617,22.0,24.0,verified autonomous action
618,22.0,24.0,verified autonomous action
619,22.0,24.0,verified autonomous action
620,16.7,29.4,verified autonomous action
621,16.7,29.4,verified autonomous action
622,16.7,29.4,verified autonomous action
623,16.7,29.4,verified autonomous action
624,16.7,29.4,verified autonomous action
625,16.7,29.4,verified autonomous action
626,16.7,29.4,verified autonomous action
627,16.7,29.4,verified autonomous action
628,16.7,29.4,verified autonomous action
629,16.7,29.4,verified autonomous action
630,16.7,29.4,verified autonomous action
631,22.0,24.0,verified autonomous action
632,22.0,24.0,verified autonomous action
633,22.0,24.0,verified autonomous action
634,22.0,24.0,verified autonomous action
635,22.0,24.0,verified autonomous action
636,22.0,24.0,verified autonomous action
637,22.0,24.0,verified autonomous action
638,22.0,24.0,verified autonomous action
639,22.0,24.0,verified autonomous action
640,22.0,24.0,verified autonomous action
641,22.0,24.0,verified autonomous action
642,22.0,24.0,verified autonomous action
643,22.0,24.0,verified autonomous action
644,22.0,24.0,verified autonomous action
645,16.7,29.4,verified autonomous action
646,16.7,29.4,verified autonomous action
647,16.7,29.4,verified autonomous action
648,16.7,29.4,verified autonomous action
649,16.7,29.4,verified autonomous action
650,16.7,29.4,verified autonomous action
651,16.7,29.4,verified autonomous action
652,16.7,29.4,verified autonomous action
653,16.7,29.4,verified autonomous action
654,16.7,29.4,verified autonomous action
655,22.0,24.0,verified autonomous action
656,22.0,24.0,verified autonomous action
657,22.0,24.0,verified autonomous action
658,22.0,24.0,verified autonomous action
659,22.0,24.0,verified autonomous action
660,22.0,24.0,verified autonomous action
661,22.0,24.0,verified autonomous action
662,22.0,24.0,verified autonomous action
663,22.0,24.0,verified autonomous action
664,22.0,24.0,verified autonomous action
665,22.0,24.0,verified autonomous action
666,22.0,24.0,verified autonomous action
667,22.0,24.0,verified autonomous action
668,22.0,24.0,verified autonomous action
669,16.7,29.4,verified autonomous action
670,16.7,29.4,verified autonomous action
671,16.7,29.4,verified autonomous action
672,16.7,29.4,verified autonomous action
673,16.7,29.4,verified autonomous action
674,16.7,29.4,verified autonomous action
675,16.7,29.4,verified autonomous action
676,16.7,29.4,verified autonomous action
677,16.7,29.4,verified autonomous action
678,16.7,29.4,verified autonomous action
679,22.0,24.0,verified autonomous action
680,22.0,24.0,verified autonomous action
681,22.0,24.0,verified autonomous action
682,22.0,24.0,verified autonomous action
